Writer,Title,Song
Sopon Chakraborti,প্রেমের খেলা কে বুঝিতে পারে,"প্রেমের খেলা কে বুঝিতে পারে, ও বাতাসি

প্রেমের খেলা কে বুঝিতে পারে

প্রেম তো করা যায় না গো সই

প্রেম তো হয়ে যায়।। (বাতাসি, বাতাসি, বাতাসিরে)

পরাণ করে উড়ু উড়ু

মন করে হায় হায়

বুক ফাটে। তো মুখ ফোটে না

প্রেমের কথা বলি কারে।।

প্রেম তো করা যায় না গো সই

প্রেম তো হয়ে যায়।।

প্রেম তো করা যায় না গো সই

প্রেম তো হয়ে যায়।।

পরাণ করে উড়ু উড়ু

মন করে হায় হায়

বুক ফাটে। তো মুখ ফোটে না

প্রেমের কথা বলি কারে

প্রেমের খেলা কে বুঝিতে পারে, ও প্রাণনাথ

প্রেমের খেলা কে বুঝিতে পারে

মনে রেখো…

মনে রেখো প্রেমের আগুন পুড়িয়ে করে ছাই

বুঝলি বাতাসি, পুড়িয়ে করে ভস…।।

মনে রেখো প্রেমের আগুন পুড়িয়ে করে ছাই

শুধু লাঞ্ছনা গঞ্জনা আছে আর তো কিছু নাই

ভুতকে যদি ভুতে ধরে। ওঝ কী করিবে তারে।।"
Sopon Chakraborti,নাই নাই এ আধার থেকে,"নাই নাই এ আধার থেকে

ফেরার পথ নাই।।

পুতুল নাচের পুতুল হয়ে

নেচেই শুধু গেলি

মনকে শুধা নাচার ফলে

জীবনে কি পেলি

যখন ছিড়বে সুতো

বুঝবি রে তুই

আগুন নেভা ছাই।।

লোভের পরে পাপ আসে

পাপের পরে মরণ

বন্ধ মনের অন্ধ হয়ে

করলি কাকে বরণ

তোকে যে আজ ভালবাসবে আবার

কাল দেবে না ঠাই।।"
Sopon Chakraborti,খেলবো হোলি রঙ দেব না,"খেলবো হোলি রঙ দেব না।

তাই কখনো হয়?

খেলবো হোলি রঙ দেব না

তাই কখনো হয়

এসো এসো বাইরে এসো এসো গো

এসো এসো বাইরে এসো

ভয় পেয়োনা ভয়

এসেছে হোলি এসেছে।।

খেলবো হোলি রঙ দেব না

তাই কখনো হয়?।

খেলবো হোলি রঙ দেব না

তাই কখনো হয়

এসো এসো বাইরে এসো এসো গো

এসো এসো বাইরে এসো

ভয় পেয়োনা ভয়

এসেছে হোলি এসেছে।।

(ও ও ও)লালে লালে অাবীর লালে

আকাশ হল লাল।

(ও ও)বৃন্দাবনে হোলী খেলে

নন্দের দুলাল।

শোন শোন গাইছে সবাই শোন গো

শোন শোন গাইছে সবাই

ফাগুনেরি জয়

এসেছে হোলী এসেছ।।

(ও ও)লুকোচুরি চলবে নাতো

আজকে হোলীর দিনে।

(ও)রঙ খেলা কি জমে বল,

আপন মানুষ বিনে?।

ছাড়বো নাতো আজকে তোমায়

ছাড়বো না,ছাড়বো নাতো

আজকে তোমায়,নয় কিছুতে নয়

এসেছে হোলি এসেছে।।

খেলবো হোলি রঙ দেব না

তাই কখনো হয়?।

এসো এসো বাইরে এসো এসো গো

এসো এসো বাইরে এসো

ভয় পেয়োনা ভয়

এসেছে হোলি এসেছে।।"
